chr1	122678785	6642133	0
chr2	85426708	4578715	0
chr3	91889043	3860589	0
chr4	88276631	3906712	0
chr5	88915250	4686654	0
chr6	77573801	4421591	0
chr7	80974532	4220612	0
chr8	74330416	3607647	0
chr9	61074082	4632924	0
chr10	69331447	3544037	0
chr11	74389097	3357699	0
chr12	72498081	3282823	0
chr13	63241923	2533084	0
chr14	60966679	2579064	0
chr15	64190966	3078269	0
chr16	59632846	2756327	0
chr17	64289059	3442700	0
chr18	55844845	2863901	0
chr19	53741614	1737565	0
chr20	58134056	3456688	0
chr21	50858623	2305521	0
chr22	61439934	1969669	0
chr23	52294480	2295051	0
chr24	47698779	2428122	0
chr25	51628933	2451890	0
chr26	38964690	2205764	0
chr27	45876710	2641430	0
chr28	41182112	2090041	0
chr29	41845238	1480166	0
chr30	40214260	2328455	0
chr31	39895921	1322036	0
chr32	38810281	1631512	0
chr33	31377067	1467501	0
chr34	42124431	1746828	0
chr35	26524999	1230859	0
chr36	30810995	1386585	0
chr37	30902991	1597081	0
chr38	23914537	996863	0
chrX	123869142	2363157	0
chrMT	16727	0	0
*	0	0	0
